市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,建築年,取引価格（総額）,西暦建築年,築年数,平米単価,面積カテゴリ,徒歩カテゴリ
大阪市旭区,大宮,千林大宮,4,,50,1990年,1700,1990,35,34.0,50-70㎡,0-5分
大阪市旭区,大宮,千林大宮,7,３ＬＤＫ,70,1999年,1500,1999,26,21.428571428571427,70-100㎡,6-10分
大阪市旭区,大宮,千林大宮,4,１ＤＫ,35,2007年,1500,2007,18,42.857142857142854,30-50㎡,0-5分
大阪市旭区,大宮,千林大宮,5,３ＬＤＫ,60,1990年,2100,1990,35,35.0,50-70㎡,0-5分
大阪市旭区,大宮,千林大宮,6,３ＬＤＫ,70,2015年,3800,2015,10,54.285714285714285,70-100㎡,6-10分
大阪市旭区,大宮,千林大宮,5,３ＬＤＫ,75,1990年,3200,1990,35,42.666666666666664,70-100㎡,0-5分
大阪市旭区,大宮,千林大宮,4,１ＬＤＫ,30,2007年,1200,2007,18,40.0,30-50㎡,0-5分
大阪市旭区,大宮,千林大宮,6,３ＬＤＫ,65,2015年,3200,2015,10,49.23076923076923,50-70㎡,6-10分
大阪市旭区,大宮,千林大宮,6,２ＬＤＫ,50,2015年,1700,2015,10,34.0,50-70㎡,6-10分
大阪市旭区,大宮,千林大宮,4,１ＬＤＫ,30,2007年,2100,2007,18,70.0,30-50㎡,0-5分
大阪市旭区,大宮,千林大宮,4,１ＬＤＫ,30,2007年,1900,2007,18,63.333333333333336,30-50㎡,0-5分
大阪市旭区,大宮,千林大宮,8,２ＬＤＫ,60,1996年,3100,1996,29,51.666666666666664,50-70㎡,6-10分
大阪市旭区,大宮,太子橋今市,6,３ＬＤＫ,90,1998年,2300,1998,27,25.555555555555557,70-100㎡,6-10分
大阪市旭区,大宮,太子橋今市,6,,65,1998年,1800,1998,27,27.692307692307693,50-70㎡,6-10分
大阪市旭区,大宮,太子橋今市,6,３ＬＤＫ,65,1998年,2300,1998,27,35.38461538461539,50-70㎡,6-10分
大阪市旭区,大宮,太子橋今市,5,３ＬＤＫ,65,2012年,3300,2012,13,50.76923076923077,50-70㎡,0-5分
大阪市旭区,大宮,太子橋今市,5,３ＬＤＫ,70,2012年,3600,2012,13,51.42857142857143,70-100㎡,0-5分
大阪市旭区,清水,清水(大阪メトロ),4,,80,1991年,2800,1991,34,35.0,70-100㎡,0-5分
大阪市旭区,清水,千林,5,３ＬＤＫ,65,1995年,1500,1995,30,23.076923076923077,50-70㎡,0-5分
大阪市旭区,清水,千林,5,,70,1995年,2300,1995,30,32.857142857142854,70-100㎡,0-5分
大阪市旭区,清水,千林,1,２ＤＫ,60,2002年,2800,2002,23,46.666666666666664,50-70㎡,0-5分
大阪市旭区,清水,千林,1,,55,2002年,2000,2002,23,36.36363636363637,50-70㎡,0-5分
大阪市旭区,新森,新森古市,7,,65,2002年,2500,2002,23,38.46153846153846,50-70㎡,6-10分
大阪市旭区,新森,新森古市,7,３ＬＤＫ,70,2002年,2900,2002,23,41.42857142857143,70-100㎡,6-10分
大阪市旭区,新森,新森古市,0,４ＬＤＫ,80,2013年,4400,2013,12,55.0,70-100㎡,0-5分
大阪市旭区,新森,新森古市,7,２ＬＤＫ,65,2002年,2400,2002,23,36.92307692307692,50-70㎡,6-10分
